Transecta	Año	Punto	x	y	Sustrato	Hojarasca	Arbt	Arbo	sp	Estado	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	tq_s	tq_a
2	1938	2	2	0	T	0	0	16.91	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1938	3	4	0	T	0	0	17.09	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1938	4	6	0	T	0	0	19.3	Lathirus	Vivo	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
2	1938	4	6	0	T	0	0	19.3	Maqui	Vivo	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0
2	1938	5	8	0	H	7	0	19.75	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1938	6	10	0	H	5	0	24.04	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1938	7	12	0	H	10	0	19.42	Pasto	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	7	12	0	H	10	0	19.42	Lathirus	Vivo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	7	12	0	H	10	0	19.42	Maqui	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	8	14	0	H	7	0	20.1	Galium	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	9	16	0	H	5	0	17.35	Lathirus	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	10	18	0	H	6	0	19.05	Pasto	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	10	18	0	H	6	0	19.05	Lathirus	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	11	20	0	H	7	0	20.36	Amancay	Vivo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	11	20	0	H	7	0	20.36	Galium	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	11	20	0	H	7	0	20.36	Lathirus	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	11	20	0	H	7	0	20.36	Osmorhyza	Vivo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	12	22	0	H	4	0	17.78	Pasto	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	12	22	0	H	4	0	17.78	Lathirus	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	12	22	0	H	4	0	17.78	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	13	24	0	H	4	1.6	19.34	Ca?	Seco	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
